epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1199.64,1.23707,0.8787,1.23038,0.54303,0.48571,0.45818,0.19343,2.05275,2.22218,1.92524,0.0005941,0.0005941,0.0005941
43,1227.82,1.23346,0.86186,1.22932,0.49318,0.45788,0.41627,0.18424,2.01241,2.39559,1.88212,0.0005842,0.0005842,0.0005842
44,1256.25,1.22494,0.84123,1.23073,0.56155,0.40563,0.43925,0.18591,2.06635,2.17817,1.88672,0.0005743,0.0005743,0.0005743
45,1284.34,1.21263,0.83827,1.21847,0.52253,0.48538,0.45893,0.19471,2.06765,2.25351,1.9288,0.0005644,0.0005644,0.0005644
46,1313.33,1.21508,0.85055,1.22879,0.63312,0.42177,0.42491,0.18249,2.11031,2.36285,1.9478,0.0005545,0.0005545,0.0005545
47,1342.26,1.18158,0.81714,1.20364,0.73109,0.40637,0.45143,0.19874,2.02894,2.35905,1.87091,0.0005446,0.0005446,0.0005446
48,1370.41,1.17869,0.81283,1.20095,0.52609,0.43807,0.44682,0.18795,2.09319,2.20646,1.93116,0.0005347,0.0005347,0.0005347
49,1398.83,1.18261,0.81437,1.20733,0.52478,0.44426,0.45813,0.19109,2.11202,2.28717,1.98045,0.0005248,0.0005248,0.0005248
50,1426.12,1.15795,0.79441,1.18932,0.52429,0.44605,0.4249,0.18675,2.09556,2.3338,1.96849,0.0005149,0.0005149,0.0005149
51,1454.48,1.15654,0.7793,1.17722,0.45761,0.4682,0.45037,0.19296,2.06376,2.24604,1.91258,0.000505,0.000505,0.000505
52,1483.15,1.13991,0.78575,1.17717,0.69108,0.38105,0.43944,0.19041,2.10006,2.47783,1.91944,0.0004951,0.0004951,0.0004951
53,1511.67,1.14612,0.78168,1.18825,0.62641,0.4283,0.48088,0.20598,2.0681,2.22572,1.94968,0.0004852,0.0004852,0.0004852
54,1539.64,1.10819,0.74379,1.15604,0.56496,0.39525,0.44959,0.18753,2.14167,2.43775,2.0264,0.0004753,0.0004753,0.0004753
55,1568.18,1.11626,0.7438,1.17059,0.5975,0.41293,0.44769,0.19667,2.06735,2.40472,1.978,0.0004654,0.0004654,0.0004654
56,1596.17,1.10638,0.74456,1.15744,0.54092,0.44633,0.46177,0.18603,2.10196,2.39663,1.96421,0.0004555,0.0004555,0.0004555
57,1625.29,1.08568,0.72322,1.1518,0.47733,0.47024,0.45748,0.19598,2.05439,2.23684,1.95862,0.0004456,0.0004456,0.0004456
58,1653.62,1.08309,0.72058,1.15582,0.49218,0.46726,0.46219,0.19614,2.08851,2.45767,1.97341,0.0004357,0.0004357,0.0004357
59,1681.71,1.07018,0.70731,1.14334,0.52523,0.47522,0.46258,0.20352,2.13833,2.32865,2.02107,0.0004258,0.0004258,0.0004258
60,1710.23,1.07717,0.72314,1.14188,0.50706,0.45512,0.46223,0.1963,2.11265,2.29618,1.9851,0.0004159,0.0004159,0.0004159
61,1738.06,1.06872,0.71715,1.14502,0.62027,0.42674,0.45833,0.199,2.08867,2.41382,1.98146,0.000406,0.000406,0.000406
62,1766.33,1.04147,0.70251,1.12444,0.57254,0.43272,0.4589,0.1923,2.08246,2.33577,1.9618,0.0003961,0.0003961,0.0003961
63,1794.36,1.03325,0.6849,1.12341,0.53978,0.44067,0.45054,0.19276,2.06572,2.29542,1.93564,0.0003862,0.0003862,0.0003862
64,1822.65,1.0296,0.66677,1.11541,0.5204,0.43644,0.4448,0.19015,2.10528,2.4719,1.97627,0.0003763,0.0003763,0.0003763
65,1850.4,1.02001,0.66888,1.1145,0.58332,0.39823,0.43939,0.18459,2.11163,2.52871,2.00089,0.0003664,0.0003664,0.0003664
66,1878.83,1.03379,0.68059,1.11559,0.61078,0.41539,0.45089,0.1959,2.0701,2.46516,1.96862,0.0003565,0.0003565,0.0003565
67,1907.37,1.01816,0.66282,1.11543,0.59599,0.43102,0.46144,0.20558,2.0509,2.6069,1.91608,0.0003466,0.0003466,0.0003466
68,1935.33,0.99944,0.6561,1.10793,0.55131,0.46794,0.46745,0.2035,2.08731,2.30237,2.00278,0.0003367,0.0003367,0.0003367
69,1963.65,0.98163,0.62936,1.09213,0.67703,0.41046,0.46808,0.20557,2.08873,2.32946,1.99175,0.0003268,0.0003268,0.0003268
70,1992.14,0.97769,0.64113,1.09054,0.64073,0.42879,0.47345,0.20386,2.05784,2.34078,1.95305,0.0003169,0.0003169,0.0003169
71,2019.92,0.98402,0.64692,1.09619,0.48806,0.47257,0.46576,0.19379,2.08672,2.45841,2.01066,0.000307,0.000307,0.000307
72,2048.17,0.97531,0.62423,1.08302,0.54372,0.4474,0.46042,0.19296,2.10659,2.38864,2.04217,0.0002971,0.0002971,0.0002971
73,2076.16,0.98121,0.65008,1.09029,0.50045,0.50624,0.47199,0.19816,2.08577,2.389,1.99218,0.0002872,0.0002872,0.0002872
74,2104.75,0.96458,0.63601,1.07791,0.59543,0.4225,0.46713,0.19855,2.09151,2.44748,2.00507,0.0002773,0.0002773,0.0002773
